Event_ID,Event,Day,Date,Course_ID,Instructor,Course_Name,Duration_Days,Room,Conflict,Configured
EV004,Chicago,4,5/14/2026,0342D,Traci Duez,"Developing Your EQ to RISE (Reach, Inspire, Serve, and Engage)",2,1,,Yes
EV004,Chicago,4,5/14/2026,0541D,Thomas Jarocki,Managing the Human Side of Projects,1,1,,Yes
EV004,Chicago,4,5/14/2026,1821D,Bob Maiale,Project Risk Mastery: Anticipate and Respond,1,1,,Yes
EV004,Chicago,4,5/14/2026,1972D,Christine Aykac,Adaptive PMO: Mastering Agile Transformation,2,1,,Yes
EV004,Chicago,4,5/14/2026,2092D,Erin Ramirez,Mastering Adaptability for Modern Project Success,2,1,,Yes
EV005,Orlando,1,6/15/2026,0024D,"Joyce Brown, Thomas McCabe",A Non-Bootcamp Review of the PMBOK® Guide for Real-World Practitioners,4,1,,Yes
EV005,Orlando,1,6/15/2026,0032D,"Lisa Hammer, David Newman","Adapt, Adopt, and Accomplish for Project Management Success",2,1,,Yes
EV005,Orlando,1,6/15/2026,0482D,Greg Githens,Leading Strategic Initiatives (Program Management),2,1,,Yes
EV005,Orlando,1,6/15/2026,0541D,Thomas Jarocki,Managing the Human Side of Projects,1,1,,Yes
EV005,Orlando,1,6/15/2026,0552D,Brad Bigelow,Scope Management Secrets,2,1,,Yes
EV005,Orlando,1,6/15/2026,0694D,Michel Thiry,Program Management Master Class,4,1,,Yes
EV005,Orlando,1,6/15/2026,1482D,Oscar Wasilik,"Artificial Intelligence-Powered Project Excellence: Roadmaps, Success Strategies, and Practical Tools",2,1,,Yes
EV005,Orlando,1,6/15/2026,1731D,Carlene Szostak,Leading Remote Teams,1,1,,Yes
EV005,Orlando,1,6/15/2026,1813D,Bob Maiale,Plan and Control: Project Management Foundations,3,1,,Yes
EV005,Orlando,1,6/15/2026,1932D,Debra Howell,Rise Through Resilience,2,1,,Yes
EV005,Orlando,1,6/15/2026,2033D,Chris Leonard,NEW! Leading AI-enabled Product Development,3,1,,Yes
EV005,Orlando,1,6/15/2026,2084D,Traci Duez,Leadership Discovery of your Value and Reputation,4,1,,Yes
EV005,Orlando,1,6/15/2026,1464D,Jack Duggal,Next-Gen PMO: Build for Uncertainty,4,1,,Yes
EV005,Orlando,1,6/15/2026,1414H,Teresa Lawrence,Cognitive Diversity: Leverage Your Thinking Style,0.5,5,,Yes
EV005,Orlando,1,6/15/2026,NEW1,Ori Schibi,AI Change Management,2,1,,Yes
EV005,Orlando,2,6/16/2026,0024D,"Joyce Brown, Thomas McCabe",A Non-Bootcamp Review of the PMBOK® Guide for Real-World Practitioners,4,1,,Yes
EV005,Orlando,2,6/16/2026,0032D,"Lisa Hammer, David Newman","Adapt, Adopt, and Accomplish for Project Management Success",2,1,,Yes
EV005,Orlando,2,6/16/2026,0482D,Greg Githens,Leading Strategic Initiatives (Program Management),2,1,,Yes
EV005,Orlando,2,6/16/2026,0552D,Brad Bigelow,Scope Management Secrets,2,1,,Yes
EV005,Orlando,2,6/16/2026,0643D,Thomas Jarocki,"Orchestrate Total Success: People, Projects, Change",3,1,,Yes
EV005,Orlando,2,6/16/2026,0694D,Michel Thiry,Program Management Master Class,4,1,,Yes
EV005,Orlando,2,6/16/2026,0951D,Drew Clark,Agile Leadership for Digital Transformation,1,1,,Yes
EV005,Orlando,2,6/16/2026,1482D,Oscar Wasilik,"Artificial Intelligence-Powered Project Excellence: Roadmaps, Success Strategies, and Practical Tools",2,1,,Yes
EV005,Orlando,2,6/16/2026,1741D,Carlene Szostak,AI Ethics for Project Managers,1,1,,Yes
EV005,Orlando,2,6/16/2026,1813D,Bob Maiale,Plan and Control: Project Management Foundations,3,1,,Yes
EV005,Orlando,2,6/16/2026,1932D,Debra Howell,Rise Through Resilience,2,1,,Yes
EV005,Orlando,2,6/16/2026,2033D,Chris Leonard,NEW! Leading AI-enabled Product Development,3,1,,Yes
EV005,Orlando,2,6/16/2026,2084D,Traci Duez,Leadership Discovery of your Value and Reputation,4,1,,Yes
EV005,Orlando,2,6/16/2026,1464D,Jack Duggal,Next-Gen PMO: Build for Uncertainty,4,1,,Yes
EV005,Orlando,2,6/16/2026,NEW1,Ori Schibi,AI Change Management,2,1,,Yes
EV005,Orlando,3,6/17/2026,0024D,"Joyce Brown, Thomas McCabe",A Non-Bootcamp Review of the PMBOK® Guide for Real-World Practitioners,4,1,,Yes
EV005,Orlando,3,6/17/2026,0082D,"Lisa Hammer, David Newman",Agile Fundamentals: Delivering Value,2,1,,Yes
EV005,Orlando,3,6/17/2026,0402D,Jeff Panning,How to Capture Customer Requirements and Develop Project Scope,2,1,,Yes
EV005,Orlando,3,6/17/2026,0643D,Thomas Jarocki,"Orchestrate Total Success: People, Projects, Change",3,1,,Yes
EV005,Orlando,3,6/17/2026,0694D,Michel Thiry,Program Management Master Class,4,1,,Yes
EV005,Orlando,3,6/17/2026,0872D,Drew Clark,Drive Digital Transformation at Scale,2,1,,Yes
EV005,Orlando,3,6/17/2026,1042D,Teresa Lawrence,PM Tools & Techniques: Facilitate Creative Solutions,2,1,,Yes
EV005,Orlando,3,6/17/2026,1552D,Oscar Wasilik,Artificial Intelligence Applied Skills: Unlocking Project Automation and Efficiency Gains,2,1,,Yes
